User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Jonathan Davies","Melissa Moore",Nurse,"2020-07-09 12:27:53",888,Outgoing,3
"Jonathan Davies","Lindsay Davies",Nurse,"2020-08-21 11:42:22",266,Outgoing,29
"Jonathan Davies","Sarah Lewis",Carer,"2020-07-16 07:21:32",433,Incoming,58
"Jonathan Davies","Carlie Reid",Carer,"2020-07-09 12:01:56",336,Incoming,51
"Jonathan Davies","Lindsay Shaw",Nurse,"2020-08-18 03:19:15",272,Incoming,41
"Jonathan Davies","Harry Mason",Nurse,"2020-07-05 03:06:12",718,Incoming,54
"Jonathan Davies","Hannah Kelly",Nurse,"2020-07-22 06:26:01",918,Incoming,95
"Jonathan Davies","Faye King",Carer,"2020-08-16 02:25:02",831,Incoming,16
"Jonathan Davies","Ryan Murphy",Carer,"2020-07-25 08:21:21",731,Outgoing,69
"Jonathan Davies","Isobel Powell",Carer,"2020-08-07 06:50:31",704,Outgoing,6
"Jonathan Davies","Henry Robinson",Carer,"2020-07-04 02:11:11",890,Outgoing,46
"Jonathan Davies","Harry Mason",Nurse,"2020-06-27 11:08:57",438,Incoming,22
"Jonathan Davies","Stefan Lewis",Carer,"2020-08-12 09:51:55",809,Outgoing,55
"Jonathan Davies","Carole Kelly",Carer,"2020-07-09 02:28:10",507,Outgoing,22
"Jonathan Davies","John Brown",Carer,"2020-08-01 06:56:41",588,Incoming,76
"Jonathan Davies","Andy Bailey",Carer,"2020-06-27 01:30:48",522,Incoming,88
"Jonathan Davies","Paul Bell",Nurse,"2020-06-24 10:04:37",659,Outgoing,8
"Jonathan Davies","Jonathan Richards",Nurse,"2020-08-03 07:32:12",996,Outgoing,100
"Jonathan Davies","Carmen Graham",Nurse,"2020-08-02 01:08:14",801,Incoming,91
"Jonathan Davies","Cameron Williams",Nurse,"2020-07-17 09:05:16",706,Incoming,70
"Jonathan Davies","Amelia Lee",Nurse,"2020-07-25 02:02:26",884,Incoming,63
"Jonathan Davies","Jonathan Richards",Nurse,"2020-07-07 06:12:04",420,Incoming,67
"Jonathan Davies","Isobel Powell",Carer,"2020-07-29 07:38:55",884,Outgoing,0
"Jonathan Davies","Adam Edwards",Nurse,"2020-07-18 05:31:38",861,Outgoing,15
"Jonathan Davies","Joel Simpson",Nurse,"2020-06-25 05:04:09",988,Outgoing,5
"Jonathan Davies","Rebecca Wood",Carer,"2020-07-04 07:20:01",229,Outgoing,92
"Jonathan Davies","Jayden Anderson",Carer,"2020-08-07 10:50:28",197,Outgoing,4
"Jonathan Davies","Steve Rose",Nurse,"2020-07-18 09:50:59",258,Outgoing,84
"Jonathan Davies","Eileen Murphy",Carer,"2020-07-10 05:26:48",541,Incoming,1
"Jonathan Davies","Finley Owen",Carer,"2020-08-05 07:16:48",797,Incoming,61
"Jonathan Davies","Callum Richards",Carer,"2020-06-25 03:24:18",708,Outgoing,4
"Jonathan Davies","Carole Kelly",Carer,"2020-08-08 01:10:37",780,Incoming,31
"Jonathan Davies","Quentin Richards",Carer,"2020-06-28 08:05:26",553,Outgoing,49
"Jonathan Davies","Leanne Cox",Carer,"2020-07-31 01:29:49",240,Incoming,24
"Jonathan Davies","Lucas Harris",Carer,"2020-08-10 05:33:50",151,Outgoing,87
"Jonathan Davies","Luke Holmes",Nurse,"2020-08-14 07:08:59",335,Outgoing,80
